ImageId,Class
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,0
298,1
299,0
